Date (DD-MM-YYYY),Lost sector,Planet,Exotic reward,Champions,Burn,Shields
24-05-2022,K1 Crew Quarters,Moon,Chest,"Barrier (3 | 4), Overload (2 | 6)",Arc,Solar (10 | 10)
25-05-2022,K1 Logistics,Moon,Helmet,"Barrier (3 | 4), Overload (2 | 6)",Void,"Arc (3 | 3), Solar (8 | 8)"
26-05-2022,K1 Revelation,Moon,Legs,"Barrier (4 | 7), Unstoppable (3 | 3)",Void,Arc (4 | 1)
27-05-2022,K1 Communion,Moon,Arms,"Barrier (3 | 4), Overload (2 | 6)",Solar,"Solar (1 | 1), Void (2 | 0)"
28-05-2022,The Conflux,Nessus,Chest,"Barrier (2 | 3), Unstoppable (2 | 3)",Solar,Void (10 | 10)
29-05-2022,Metamorphosis,Throne World,Helmet,"Overload (3 | 3), Unstoppable (2 | 4)",Arc,"Arc (2 | 2), Solar (1 | 1)"
30-05-2022,Sepulcher,Throne World,Legs,"Barrier (3 | 5), Unstoppable (1 | 3)",Solar,"Arc (2 | 2), Solar (1 | 1)"
31-05-2022,Extraction,Throne World,Arms,"Overload (1 | 4), Unstoppable (3 | 3)",Arc,"Arc (7 | 2), Void (5 | 5)"
01-06-2022,Excavation Site XII,EDZ,Chest,"Barrier (1 | 2), Unstoppable (3 | 5)",Solar,Arc (1)
02-06-2022,Skydock IV,EDZ,Helmet,"Barrier (1 | 1), Unstoppable (3 | 5)",Solar,Void (4 | 2)
03-06-2022,The Quarry,EDZ,Legs,"Barrier (2 | 4), Unstoppable (2 | 4)",Void,"Solar (1 | 1), Void (1 | 0)"
04-06-2022,K1 Crew Quarters,Moon,Arms,"Barrier (3 | 4), Overload (2 | 6)",Arc,Solar (10 | 10)
05-06-2022,K1 Logistics,Moon,Chest,"Barrier (3 | 4), Overload (2 | 6)",Void,"Arc (3 | 3), Solar (8 | 8)"
06-06-2022,K1 Revelation,Moon,Helmet,"Barrier (4 | 7), Unstoppable (3 | 3)",Void,Arc (4 | 1)
07-06-2022,K1 Communion,Moon,Legs,"Barrier (3 | 4), Overload (2 | 6)",Solar,"Solar (1 | 1), Void (2 | 0)"
08-06-2022,The Conflux,Nessus,Arms,"Barrier (2 | 3), Unstoppable (2 | 3)",Solar,Void (10 | 10)
09-06-2022,Metamorphosis,Throne World,Chest,"Overload (3 | 3), Unstoppable (2 | 4)",Arc,"Arc (2 | 2), Solar (1 | 1)"
10-06-2022,Sepulcher,Throne World,Helmet,"Barrier (3 | 5), Unstoppable (1 | 3)",Solar,"Arc (2 | 2), Solar (1 | 1)"
11-06-2022,Extraction,Throne World,Legs,"Overload (1 | 4), Unstoppable (3 | 3)",Arc,"Arc (7 | 2), Void (5 | 5)"
12-06-2022,Excavation Site XII,EDZ,Arms,"Barrier (1 | 2), Unstoppable (3 | 5)",Solar,Arc (1)
13-06-2022,Skydock IV,EDZ,Chest,"Barrier (1 | 1), Unstoppable (3 | 5)",Solar,Void (4 | 2)
14-06-2022,The Quarry,EDZ,Helmet,"Barrier (2 | 4), Unstoppable (2 | 4)",Void,"Solar (1 | 1), Void (1 | 0)"
15-06-2022,K1 Crew Quarters,Moon,Legs,"Barrier (3 | 4), Overload (2 | 6)",Arc,Solar (10 | 10)
16-06-2022,K1 Logistics,Moon,Arms,"Barrier (3 | 4), Overload (2 | 6)",Void,"Arc (3 | 3), Solar (8 | 8)"
17-06-2022,K1 Revelation,Moon,Chest,"Barrier (4 | 7), Unstoppable (3 | 3)",Void,Arc (4 | 1)
18-06-2022,K1 Communion,Moon,Helmet,"Barrier (3 | 4), Overload (2 | 6)",Solar,"Solar (1 | 1), Void (2 | 0)"
19-06-2022,The Conflux,Nessus,Legs,"Barrier (2 | 3), Unstoppable (2 | 3)",Solar,Void (10 | 10)
20-06-2022,Metamorphosis,Throne World,Arms,"Overload (3 | 3), Unstoppable (2 | 4)",Arc,"Arc (2 | 2), Solar (1 | 1)"
