Date (DD-MM-YYYY),Lost sector,Planet,Exotic reward,Champions,Burn,Shields
23-08-2022,Concealed Void,Europa,Chest,"Barrier (1 | 3), Overload (3 | 5)",Solar,"Solar (3 | 3), Void (2 | 2)"
24-08-2022,Bunker E15,Europa,Helmet,"Barrier (1 | 2), Overload (3+ | 5)",Void,Void (2 | 2)
25-08-2022,The Conflux,Nessus,Legs,"Barrier (2 | 3), Unstoppable (2 | 3)",Solar,Void (10 | 10)
26-08-2022,The Rift,Nessus,Arms,"Barrier, Overload",Void,"Arc (2 | ?), Solar (20 | ?)"
27-08-2022,K1 Crew Quarters,Moon,Chest,"Barrier (3 | 4), Overload (2 | 6)",Arc,Solar (10 | 10)
28-08-2022,K1 Logistics,Moon,Helmet,"Barrier (3 | 4), Overload (2 | 6)",Void,"Arc (3 | 3), Solar (8 | 8)"
29-08-2022,K1 Communion,Moon,Legs,"Barrier (3 | 4), Overload (2 | 6)",Solar,"Solar (1 | 1), Void (2 | 0)"
30-08-2022,Skydock IV,EDZ,Arms,"Barrier (1 | 1), Unstoppable (3 | 5)",Solar,Void (4 | 2)
31-08-2022,Scavenger's Den,EDZ,Chest,"Barrier (2 | 3), Overload (3 | 7)",Solar,Arc (1 | 1)
01-09-2022,The Quarry,EDZ,Helmet,"Barrier (2 | 4), Unstoppable (2 | 4)",Void,"Solar (1 | 1), Void (1 | 0)"
02-09-2022,Excavation Site XII,EDZ,Legs,"Barrier (1 | 2), Unstoppable (3 | 5)",Solar,None
03-09-2022,Concealed Void,Europa,Arms,"Barrier (1 | 3), Overload (3 | 5)",Solar,"Solar (3 | 3), Void (2 | 2)"
04-09-2022,Bunker E15,Europa,Chest,"Barrier (1 | 2), Overload (3+ | 5)",Void,Void (2 | 2)
05-09-2022,The Conflux,Nessus,Helmet,"Barrier (2 | 3), Unstoppable (2 | 3)",Solar,Void (10 | 10)
06-09-2022,Perdition,Europa,Legs,"Barrier (2 | 4), Overload (2 | 2)",Arc,"Arc (20+ | 20+), Void (2 | 2)"
